Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,340,0,52,47.8409517028922,1.264806000108365,73.2741320025525,1148.9441176470589,37.766716511574,0.0,52,55,56,57,60,63,64,65,73,73,73
POST,/,214,0,51,46.87897623817857,1.3588329966296442,67.91031199827557,1236.0934579439252,23.77081568669658,0.0,51,55,56,57,60,63,64,66,68,68,68
PUT,/1,119,0,53,49.12011369779371,1.4287730009527877,66.82875000115018,1251.7899159663866,13.218350779050901,0.0,53,56,57,59,63,64,65,66,67,67,67
DELETE,/3,72,0,52,45.75319029188702,1.3099700008751824,67.45230000524316,1160.2222222222222,7.9976576142156715,0.0,52,54,56,56,59,63,66,67,67,67,67
GET,/?age=30,252,0,51,46.520252860939344,1.3151649982319213,65.94449700060068,1070.1746031746031,27.99180164975485,0.0,51,55,57,58,61,63,64,65,66,66,66
,Aggregated,997,0,52,47.302559123333594,1.264806000108365,73.2741320025525,1160.8304914744233,110.74534224129201,0.0,52,55,56,57,60,63,65,66,73,73,73
