Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,319,0,63,62.719928940565055,1.3384490011958405,143.83191800152417,1197.896551724138,35.4168755883035,0.0,63,68,72,75,120,140,140,140,140,140,140
POST,/,206,0,61,62.0601332621554,1.6573180037084967,144.2905219955719,1191.2621359223301,22.87108580310508,0.0,62,69,71,74,78,130,140,140,140,140,140
PUT,/1,125,0,63,64.15735278406646,1.622456002223771,143.6077269972884,1237.472,13.87808604557347,0.0,63,69,72,74,120,140,140,140,140,140,140
DELETE,/3,72,0,62,65.67984008324856,1.2566289951791987,144.26778299821308,1069.1944444444443,7.993777562250319,0.0,62,72,75,76,120,140,140,140,140,140,140
GET,/?age=30,278,0,62,62.30853032399256,1.7328269968857057,144.20483199501177,997.384892086331,30.864863365355397,0.0,62,68,71,73,78,130,140,140,140,140,140
,Aggregated,1000,0,62,62.8624337981164,1.2566289951791987,144.2905219955719,1136.468,111.02468836458776,0.0,62,69,72,74,110,140,140,140,140,140,140
